Info 0    [13:38:55.938] Starting TS Server
Info 1    [13:38:55.945] Version: 3.9.5
Info 2    [13:38:55.945] Arguments: /opt/local/bin/node /opt/local/bin/tsserver --logFile /Users/keke/part1a/.log/tsserver.log --logVerbosity info --cancellationPipeName /private/var/folders/sw/pxgsr_354f1btf01cbrd2tym0000gn/T/456289d1fb87d012c97205fb9c912c67/tscancellation*
Info 3    [13:38:55.945] Platform: darwin NodeVersion: 14 CaseSensitive: false
Info 4    [13:38:55.971] Search path: /Users/keke/part1a/src
Info 5    [13:38:55.972] For info: /Users/keke/part1a/src/index.js :: No config files found.
Info 6    [13:38:55.981] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 7    [13:38:58.479] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true Elapsed: 2497ms
Info 8    [13:38:58.479] Project '/dev/null/inferredProject1*' (Inferred)
Info 9    [13:38:58.479] 	Files (129)

Info 10   [13:38:58.479] -----------------------------------------------
Info 11   [13:39:0.537] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 12   [13:39:0.540] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false Elapsed: 2ms
Info 13   [13:39:2.563] Search path: /Users/keke/part1a/src/Components
Info 14   [13:39:2.563] For info: /Users/keke/part1a/src/Components/Part1a.js :: No config files found.
Info 15   [13:39:2.564] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 16   [13:39:2.873] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 1 structureChanged: true Elapsed: 309ms
Info 17   [13:39:2.873] Project '/dev/null/inferredProject2*' (Inferred)
Info 18   [13:39:2.873] 	Files (129)

Info 19   [13:39:2.873] -----------------------------------------------
Info 20   [13:39:2.874] Before ensureProjectForOpenFiles:
Info 21   [13:39:2.874] After ensureProjectForOpenFiles:
Info 22   [13:39:2.874] got projects updated in background, updating diagnostics for /Users/keke/part1a/src/index.js,/Users/keke/part1a/src/Components/Part1a.js
Info 23   [13:39:3.156] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 24   [13:39:3.157] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 2 structureChanged: false Elapsed: 1ms
Info 25   [13:39:5.483] Before ensureProjectForOpenFiles:
Info 26   [13:39:5.483] After ensureProjectForOpenFiles:
Info 27   [13:39:5.483] got projects updated in background, updating diagnostics for /Users/keke/part1a/src/index.js,/Users/keke/part1a/src/Components/Part1a.js
Info 28   [13:39:32.412] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 29   [13:39:32.449] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false Elapsed: 32ms
Info 30   [13:39:32.449] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 31   [13:39:32.450] getCompletionData: Get current token: 0
Info 32   [13:39:32.451] getCompletionData: Is inside comment: 0
Info 33   [13:39:32.451] getCompletionData: Get previous token 1: 0
Info 34   [13:39:32.451] getCompletionData: Get previous token 2: 0
Info 35   [13:39:32.451] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 36   [13:39:32.455] getSymbolsFromOtherSourceFileExports: Recomputing list
Info 37   [13:39:32.470] forEachExternalModuleToImportFrom: filtered out 80 modules by package.json contents
Info 38   [13:39:32.470] getSymbolsFromOtherSourceFileExports: 15
Info 39   [13:39:32.473] getCompletionData: Semantic work: 22
Info 40   [13:39:32.485] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 11
Info 41   [13:39:32.800] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 42   [13:39:32.809] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false Elapsed: 9ms
Info 43   [13:39:32.809] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 44   [13:39:33.85] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 45   [13:39:33.103] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false Elapsed: 18ms
Info 46   [13:39:33.103] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 47   [13:39:33.109] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 48   [13:39:33.115] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: false Elapsed: 6ms
Info 49   [13:39:33.115] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 50   [13:39:33.644] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 51   [13:39:33.653] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 7 structureChanged: false Elapsed: 9ms
Info 52   [13:39:33.653] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 53   [13:39:34.333] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 54   [13:39:34.342] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 8 structureChanged: false Elapsed: 9ms
Info 55   [13:39:34.342] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 56   [13:39:35.126] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 57   [13:39:35.137] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 9 structureChanged: false Elapsed: 11ms
Info 58   [13:39:35.137] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 59   [13:39:35.138] getCompletionData: Get current token: 0
Info 60   [13:39:35.138] getCompletionData: Is inside comment: 0
Info 61   [13:39:35.138] getCompletionData: Get previous token 1: 0
Info 62   [13:39:35.138] getCompletionData: Get previous token 2: 0
Info 63   [13:39:35.138] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 64   [13:39:35.149] getSymbolsFromOtherSourceFileExports: Using cached list
Info 65   [13:39:35.159] getCompletionData: Semantic work: 21
Info 66   [13:39:35.167] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 8
Info 67   [13:39:35.540] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 68   [13:39:35.550] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 10 structureChanged: false Elapsed: 9ms
Info 69   [13:39:35.550] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 70   [13:39:35.990] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 71   [13:39:36.1] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 11 structureChanged: false Elapsed: 11ms
Info 72   [13:39:36.1] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 73   [13:39:40.390] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 74   [13:39:40.401] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 12 structureChanged: false Elapsed: 11ms
Info 75   [13:39:40.401] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 76   [13:39:40.401] getCompletionData: Get current token: 0
Info 77   [13:39:40.402] getCompletionData: Is inside comment: 1
Info 78   [13:39:40.402] getCompletionData: Get previous token 1: 0
Info 79   [13:39:40.402] getCompletionData: Get previous token 2: 0
Info 80   [13:39:40.402] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 81   [13:39:40.402] Returning an empty list because completion was requested in an invalid position.
Info 82   [13:39:40.646] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 83   [13:39:40.652] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 13 structureChanged: false Elapsed: 6ms
Info 84   [13:39:40.652] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 85   [13:39:40.652] getCompletionData: Get current token: 0
Info 86   [13:39:40.653] getCompletionData: Is inside comment: 0
Info 87   [13:39:40.653] getCompletionData: Get previous token 1: 0
Info 88   [13:39:40.653] getCompletionData: Get previous token 2: 0
Info 89   [13:39:40.653] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 90   [13:39:40.653] Returning an empty list because completion was requested in an invalid position.
Info 91   [13:39:40.927] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 92   [13:39:40.934] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 14 structureChanged: false Elapsed: 7ms
Info 93   [13:39:40.934] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 94   [13:39:40.934] getCompletionData: Get current token: 0
Info 95   [13:39:40.934] getCompletionData: Is inside comment: 0
Info 96   [13:39:40.934] getCompletionData: Get previous token 1: 0
Info 97   [13:39:40.934] getCompletionData: Get previous token 2: 0
Info 98   [13:39:40.934] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 99   [13:39:40.934] Returning an empty list because completion was requested in an invalid position.
Info 100  [13:39:41.101] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 101  [13:39:41.132] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 15 structureChanged: false Elapsed: 31ms
Info 102  [13:39:41.132] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 103  [13:39:41.132] getCompletionData: Get current token: 0
Info 104  [13:39:41.132] getCompletionData: Is inside comment: 0
Info 105  [13:39:41.132] getCompletionData: Get previous token 1: 0
Info 106  [13:39:41.132] getCompletionData: Get previous token 2: 0
Info 107  [13:39:41.132] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 108  [13:39:41.132] Returning an empty list because completion was requested in an invalid position.
Info 109  [13:39:41.277] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 110  [13:39:41.286] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 16 structureChanged: false Elapsed: 9ms
Info 111  [13:39:41.286] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 112  [13:39:41.286] getCompletionData: Get current token: 0
Info 113  [13:39:41.286] getCompletionData: Is inside comment: 0
Info 114  [13:39:41.286] getCompletionData: Get previous token 1: 0
Info 115  [13:39:41.286] getCompletionData: Get previous token 2: 0
Info 116  [13:39:41.286] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 117  [13:39:41.286] Returning an empty list because completion was requested in an invalid position.
Info 118  [13:39:41.685] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 119  [13:39:41.712] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 17 structureChanged: false Elapsed: 26ms
Info 120  [13:39:41.712] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 121  [13:39:41.714] getCompletionData: Get current token: 1
Info 122  [13:39:41.714] getCompletionData: Is inside comment: 0
Info 123  [13:39:41.714] getCompletionData: Get previous token 1: 0
Info 124  [13:39:41.714] getCompletionData: Get previous token 2: 0
Info 125  [13:39:41.714] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 126  [13:39:41.714] Returning an empty list because completion was requested in an invalid position.
Info 127  [13:39:43.517] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 128  [13:39:43.528] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 18 structureChanged: false Elapsed: 11ms
Info 129  [13:39:43.529] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 130  [13:39:43.600] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 131  [13:39:43.606] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 19 structureChanged: false Elapsed: 6ms
Info 132  [13:39:43.606] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 133  [13:39:43.619] getCompletionData: Get current token: 0
